day_of_year_norm,temperature_2m_max_mean,temperature_2m_max_std,temperature_2m_max_min,temperature_2m_max_max,temperature_2m_min_mean,temperature_2m_min_std,temperature_2m_min_min,temperature_2m_min_max,precipitation_sum_mean,precipitation_sum_std,precipitation_sum_min,precipitation_sum_max,n_observations,temperature_2m_max_mean_smoothed,temperature_2m_min_mean_smoothed,precipitation_sum_mean_smoothed
1,9.28,3.15,4.7,12.0,3.2,3.92,-2.2,7.7,6.36,6.68,0.0,17.3,5,8.43142857142857,1.7657142857142856,3.845714285714286
2,9.4,3.95,5.3,14.1,0.96,3.45,-4.6,4.2,5.2,9.08,0.0,21.1,5,7.888571428571429,1.3285714285714287,3.44
3,5.92,4.24,2.6,12.8,-0.18,4.67,-4.1,7.9,3.7,4.12,0.0,8.7,5,7.065714285714286,0.7828571428571429,3.662857142857143
4,6.08,6.8,-0.0,16.8,0.02,6.21,-6.3,10.2,0.82,1.11,0.0,2.5,5,6.174285714285714,-0.07142857142857142,3.4457142857142857
5,5.74,4.88,0.2,13.0,-0.18,5.19,-5.3,8.1,0.6,1.29,0.0,2.9,5,5.1571428571428575,-1.1428571428571428,2.5371428571428574
6,3.78,3.64,-1.7,8.4,-1.32,3.46,-4.9,3.4,3.82,4.82,0.0,11.1,5,4.517142857142857,-1.7771428571428574,2.8200000000000003
7,3.02,4.41,-2.8,8.2,-3.0,3.83,-8.7,0.6,3.62,5.02,0.0,10.5,5,4.571428571428571,-1.874285714285714,3.3485714285714288
8,2.16,4.19,-2.5,6.3,-4.3,2.51,-7.5,-2.0,0.0,0.0,0.0,0.0,5,4.005714285714286,-2.345714285714286,3.282857142857143
9,4.92,5.31,-1.6,12.5,-3.48,2.86,-6.7,1.1,7.18,12.75,0.0,29.7,5,4.154285714285714,-2.7114285714285713,3.914285714285714
10,6.3,4.02,3.1,13.2,-0.86,3.98,-3.7,5.7,7.4,16.55,0.0,37.0,5,4.925714285714285,-2.5742857142857143,4.345714285714285
11,2.12,4.4,-3.9,7.9,-3.28,3.35,-8.3,0.5,0.36,0.8,0.0,1.8,5,5.171428571428572,-2.5171428571428573,3.8485714285714288
12,6.78,2.66,4.6,11.0,-2.74,2.66,-7.2,-0.1,5.02,10.73,0.0,24.2,5,5.014285714285714,-2.6028571428571428,3.9542857142857146
13,9.18,3.74,6.2,14.1,-0.36,2.91,-3.6,3.4,6.84,13.94,0.0,31.7,5,4.862857142857143,-2.8228571428571425,3.9257142857142853
14,4.74,3.01,0.5,8.5,-2.6,1.72,-4.3,-0.7,0.14,0.31,0.0,0.7,5,4.6571428571428575,-3.1285714285714286,3.8428571428571425
15,1.06,5.35,-5.3,8.2,-4.9,3.83,-10.6,-0.8,0.74,1.18,0.0,2.7,5,5.131428571428572,-2.8542857142857145,3.9200000000000004
16,3.86,4.28,-1.1,8.3,-5.02,5.46,-13.0,2.0,6.98,8.37,0.0,20.1,5,4.765714285714286,-2.7142857142857144,4.014285714285714
17,4.86,5.35,-4.2,9.4,-3.0,3.87,-8.9,0.5,6.82,15.03,0.0,33.7,5,3.84,-3.345714285714286,3.2942857142857145
18,5.44,4.08,0.5,10.9,-1.36,3.95,-6.5,3.2,0.9,0.96,0.1,2.0,5,3.065714285714286,-4.1,3.2971428571428576
19,4.22,3.39,-0.9,7.9,-1.76,2.58,-4.4,2.4,5.68,7.71,0.0,18.5,5,3.0914285714285716,-4.454285714285715,3.371428571428571
20,2.7,5.45,-3.4,9.0,-4.78,4.72,-9.8,2.3,1.8,2.85,0.0,6.8,5,2.745714285714286,-4.365714285714286,2.834285714285714
21,-0.68,6.36,-8.6,5.9,-7.88,4.78,-13.9,-1.8,0.16,0.23,0.0,0.5,5,2.491428571428571,-4.44,1.9485714285714286
22,1.24,6.09,-8.1,6.8,-7.38,6.23,-15.5,-0.0,1.26,2.82,0.0,6.3,5,2.5799999999999996,-4.7057142857142855,2.391428571428572
23,1.44,3.26,-3.3,4.6,-4.4,5.23,-12.5,1.5,3.22,6.33,0.0,14.5,5,2.665714285714286,-4.6571428571428575,2.2028571428571433
24,3.08,4.16,-1.2,8.3,-3.52,3.87,-9.0,0.7,0.62,1.33,0.0,3.0,5,2.88,-4.331428571428572,1.957142857142857
25,6.06,5.72,-1.9,12.1,-3.22,7.1,-12.9,7.0,4.0,6.3,0.0,14.4,5,3.5799999999999996,-3.431428571428572,2.64
26,4.82,5.74,-2.8,11.7,-1.42,4.63,-7.4,3.2,4.36,5.23,0.0,12.8,5,3.954285714285714,-2.914285714285714,3.1000000000000005
27,4.2,3.5,-0.3,8.8,-2.5,4.16,-8.5,2.7,0.08,0.18,0.0,0.4,5,4.0600000000000005,-3.1257142857142854,2.64
28,4.22,4.23,0.4,10.8,-1.58,3.21,-6.2,2.5,4.94,9.76,0.0,22.3,5,3.9400000000000004,-3.2342857142857144,2.988571428571429
29,3.86,6.44,-4.1,10.2,-3.76,6.31,-12.1,1.2,4.48,9.36,0.0,21.2,5,3.6314285714285712,-3.5342857142857147,3.6400000000000006
30,2.18,6.14,-6.4,10.7,-5.88,5.76,-13.3,2.2,0.0,0.0,0.0,0.0,5,3.4428571428571426,-3.8857142857142857,3.525714285714286
31,2.24,5.53,-4.8,7.6,-4.28,7.46,-15.9,2.0,3.06,4.48,0.0,10.9,5,3.4857142857142853,-3.9971428571428573,3.834285714285715
32,3.9,4.27,-1.2,8.6,-5.32,3.91,-12.1,-2.4,8.56,16.3,0.0,37.6,5,3.5685714285714285,-4.508571428571428,3.694285714285715
33,3.5,1.42,1.9,5.5,-3.88,4.0,-9.1,1.4,3.56,3.51,0.0,7.2,5,3.5800000000000005,-4.5200000000000005,3.1114285714285717
34,4.5,3.71,0.7,9.8,-3.28,5.08,-11.1,3.1,2.24,4.84,0.0,10.9,5,3.911428571428572,-4.234285714285714,3.3942857142857146
35,4.8,5.93,-4.1,11.9,-5.16,6.4,-16.3,-0.0,3.96,8.47,0.0,19.1,5,4.16,-4.102857142857142,3.508571428571429
36,3.94,4.11,-1.6,8.7,-3.84,1.57,-6.5,-2.4,0.4,0.57,0.0,1.2,5,4.2942857142857145,-3.8628571428571425,2.717142857142857
37,4.5,3.99,-1.3,9.9,-3.88,3.29,-8.8,-0.7,1.98,4.43,0.0,9.9,5,4.637142857142857,-3.7485714285714287,2.4428571428571426
38,3.98,2.77,0.5,7.8,-3.36,1.22,-4.8,-1.9,3.86,4.03,0.0,9.1,5,5.174285714285714,-3.4114285714285715,2.1257142857142854
39,4.84,5.89,-3.4,10.3,-3.64,4.37,-10.4,1.2,3.02,3.18,0.0,6.7,5,5.2542857142857144,-3.042857142857143,1.76
40,5.9,4.49,1.4,11.5,-3.08,4.13,-9.1,1.8,1.64,2.73,0.0,6.3,5,5.425714285714286,-2.7257142857142855,1.8514285714285712
41,8.26,7.45,-0.1,15.1,-0.92,6.44,-9.9,6.3,0.02,0.04,0.0,0.1,5,5.531428571428572,-2.402857142857143,2.8285714285714283
42,5.36,4.84,0.1,10.7,-2.58,4.89,-8.8,3.7,1.4,2.26,0.0,5.2,5,5.285714285714286,-2.4,2.2885714285714287
43,5.14,6.46,-3.0,13.6,-1.62,6.12,-10.8,6.4,1.04,2.11,0.0,4.8,5,5.159999999999999,-2.3457142857142856,2.111428571428571
44,5.24,5.6,-2.6,12.5,-1.62,3.87,-7.4,2.5,8.82,10.72,1.7,27.5,5,5.691428571428571,-1.7514285714285716,3.494285714285714
45,2.26,5.47,-3.8,11.2,-3.34,4.71,-10.4,2.7,0.08,0.18,0.0,0.4,5,5.4799999999999995,-1.817142857142857,4.034285714285714
46,3.96,6.64,-0.5,15.7,-3.26,4.42,-8.7,3.3,1.78,3.15,0.0,7.3,5,5.265714285714286,-2.0942857142857143,4.617142857142857
47,9.62,5.13,5.0,17.8,1.08,4.98,-3.9,9.2,11.32,14.86,0.0,32.6,5,4.945714285714286,-2.4885714285714284,4.642857142857143
48,6.78,8.05,-0.3,15.6,-1.38,5.06,-6.1,6.6,3.8,5.16,0.0,11.9,5,4.691428571428571,-2.8285714285714283,3.4199999999999995
49,3.86,7.15,-2.6,15.2,-4.52,2.29,-7.8,-2.2,5.48,7.51,0.0,13.9,5,4.96,-2.8542857142857136,3.54
